Image_Labels,Labels
almonds_1,almonds
almonds_2,almonds
almonds_3,almonds
almonds_4,almonds
almonds_5,almonds
almonds_6,almonds
almonds_7,almonds
almonds_8,almonds
almonds_9,almonds
almonds,almonds
apple_1,apple
apple,apple
apples_1,apple
apples_2,apple
apples,apple
avocado_1,avocado
avocado_2,avocado
avocado_3,avocado
avocado_4,avocado
avocado_5,avocado
avocado_6,avocado
avocado_7,avocado
avocado_8,avocado
avocado_9,avocado
avocado_10,avocado
avocado_11,avocado
avocado_12,avocado
avocado,avocado
baby_carrot_1,carrot
baby_carrot,carrot
baby_potato,potato
baby_tomatoes_1,tomato
baby_tomatoes,tomato
bacon_1,bacon
bacon_2,bacon
bacon_3,bacon
bacon_4,bacon
bacon_5,bacon
bacon,bacon
banana_1,banana
banana_2,banana
banana_3,banana
banana_4,banana
banana_5,banana
banana,banana
bananas_1,banana
bananas_2,banana
bananas,banana
basil_1,basil
basil_2,basil
basil_3,basil
basil_4,basil
basil_5,basil
basil_6,basil
basil,basil
black_olives,black_olives
bread_1,bread
bread_2,bread
bread_3,bread
bread_loaves,bread
bread,bread
broccoli_1,broccoli
broccoli_2,broccoli
broccoli_3,broccoli
broccoli_4,broccoli
broccoli_5,broccoli
broccoli_6,broccoli
broccoli_7,broccoli
broccoli,broccoli
broccolis,broccoli
cabbage_1,cabbage
cabbage_2,cabbage
cabbage,cabbage
cabbages_1,cabbage
cabbages,cabbage
carrots_1,carrot
carrots_2,carrot
carrots_3,carrot
carrots_4,carrot
carrots_5,carrot
carrots_6,carrot
carrots_7,carrot
carrots_8,carrot
carrots,carrot
celery_1,celery
celery,celery
cheddar_cheese_1,cheese
cheddar_cheese_2,cheese
cheddar_cheese,cheese
cheese,cheese
chicken_1,chicken
chicken_2,chicken
chicken_3,chicken
chicken_breast,chicken
chicken_broth_1,chicken_broth
chicken_broth,chicken_broth
chicken_wing,chicken
chicken,chicken
clove,cloves
cloves_1,cloves
cloves,cloves
coca_cola_can_1,soda
coca_cola_can,soda
coca_cola_cans,soda
coca_cola,soda
coconut_1,coconut
coconut_2,coconut
coconut_3,coconut
coconut_4,coconut
coconut_5,coconut
coconut_6,coconut
coconut_7,coconut
coconut,coconut
coconuts,coconut
cooked_shrimp,shrimp
corn_1,corn
corn_2,corn
corn_3,corn
corn_4,corn
corn_kernels,corn
corn,corn
crackers_1,crackers
crackers_2,crackers
crackers_3,crackers
crackers_4,crackers
crackers_5,crackers
crackers_6,crackers
crackers_7,crackers
crackers_8,crackers
crackers_9,crackers
crackers,crackers
curry_powder_1,curry_powder
curry_powder,curry_powder
cut_lemons,lemon
eggs_1,egg
eggs_2,egg
eggs_3,egg
eggs_4,egg
eggs_5,egg
eggs_6,egg
eggs,egg
fresh_ginger_1,fresh_ginger
fresh_ginger_2,fresh_ginger
fresh_ginger_3,fresh_ginger
fresh_ginger_4,fresh_ginger
fresh_ginger_5,fresh_ginger
fresh_ginger_6,fresh_ginger
fresh_ginger_7,fresh_ginger
fresh_ginger_8,fresh_ginger
fresh_ginger_9,fresh_ginger
fresh_ginger_10,fresh_ginger
fresh_ginger_11,fresh_ginger
fresh_ginger,fresh_ginger
fresh_pasta_1,pasta
fresh_pasta_2,pasta
fresh_pasta_3,pasta
fresh_pasta_4,pasta
fresh_pasta,pasta
garlic_shallot_1,garlic
garlic_shallot_2,garlic
garlic_shallot,garlic
garlic_shallots_1,garlic
garlic_shallots_2,garlic
garlic_shallots_3,garlic
green_bell_peppers_1,bell_pepper
green_bell_peppers,bell_pepper
green_onion_1,green_onion
green_onion_2,green_onion
green_onion_3,green_onion
green_onion,green_onion
green_onions_1,green_onion
green_onions,green_onion
green_pepper,pepper
green_peppers_1,pepper
green_peppers_2,pepper
green_peppers_3,pepper
green_peppers_4,pepper
green_peppers,pepper
ground_beef,beef
ham,ham
honey,honey
ketchup,ketchup
ketchup_1,ketchup
ketchup_2,ketchup
kidney_bean,bean
lemon,lemon
lemon_1,lemon
lemon_2,lemon
lemon_3,lemon
lemons_1,lemon
lemons_2,lemon
lemons_3,lemon
lemons_4,lemon
lemons_5,lemon
lemons_6,lemon
