Image_Labels,Image_Labels_jpg,Labels
almonds_1,almonds_1.jpg,almonds
almonds_2,almonds_2.jpg,almonds
almonds_3,almonds_3.jpg,almonds
almonds_4,almonds_4.jpg,almonds
almonds_5,almonds_5.jpg,almonds
almonds_6,almonds_6.jpg,almonds
almonds_7,almonds_7.jpg,almonds
almonds_8,almonds_8.jpg,almonds
almonds_9,almonds_9.jpg,almonds
almonds,almonds.jpg,almonds
apple_1,apple_1.jpg,apple
apple,apple.jpg,apple
apples_1,apples_1.jpg,apple
apples_2,apples_2.jpg,apple
apples,apples.jpg,apple
avocado_1,avocado_1.jpg,avocado
avocado_2,avocado_2.jpg,avocado
avocado_3,avocado_3.jpg,avocado
avocado_4,avocado_4.jpg,avocado
avocado_5,avocado_5.jpg,avocado
avocado_6,avocado_6.jpg,avocado
avocado_7,avocado_7.jpg,avocado
avocado_8,avocado_8.jpg,avocado
avocado_9,avocado_9.jpg,avocado
avocado_10,avocado_10.jpg,avocado
avocado_11,avocado_11.jpg,avocado
avocado_12,avocado_12.jpg,avocado
avocado,avocado.jpg,avocado
baby_carrot_1,baby_carrot_1.jpg,carrot
baby_carrot,baby_carrot.jpg,carrot
baby_potato,baby_potato.jpg,potato
baby_tomatoes_1,baby_tomatoes_1.jpg,tomato
baby_tomatoes,baby_tomatoes.jpg,tomato
bacon_1,bacon_1.jpg,bacon
bacon_2,bacon_2.jpg,bacon
bacon_3,bacon_3.jpg,bacon
bacon_4,bacon_4.jpg,bacon
bacon_5,bacon_5.jpg,bacon
bacon,bacon.jpg,bacon
banana_1,banana_1.jpg,banana
banana_2,banana_2.jpg,banana
banana_3,banana_3.jpg,banana
banana_4,banana_4.jpg,banana
banana_5,banana_5.jpg,banana
banana,banana.jpg,banana
bananas_1,bananas_1.jpg,banana
bananas_2,bananas_2.jpg,banana
bananas,bananas.jpg,banana
basil_1,basil_1.jpg,basil
basil_2,basil_2.jpg,basil
basil_3,basil_3.jpg,basil
basil_4,basil_4.jpg,basil
basil_5,basil_5.jpg,basil
basil_6,basil_6.jpg,basil
basil,basil.jpg,basil
black_olives,black_olives.jpg,black_olives
bread_1,bread_1.jpg,bread
bread_2,bread_2.jpg,bread
bread_3,bread_3.jpg,bread
bread_loaves,bread_loaves.jpg,bread
bread,bread.jpg,bread
broccoli_1,broccoli_1.jpg,broccoli
broccoli_2,broccoli_2.jpg,broccoli
broccoli_3,broccoli_3.jpg,broccoli
broccoli_4,broccoli_4.jpg,broccoli
broccoli_5,broccoli_5.jpg,broccoli
broccoli_6,broccoli_6.jpg,broccoli
broccoli_7,broccoli_7.jpg,broccoli
broccoli,broccoli.jpg,broccoli
broccolis,broccolis.jpg,broccoli
cabbage_1,cabbage_1.jpg,cabbage
cabbage_2,cabbage_2.jpg,cabbage
cabbage,cabbage.jpg,cabbage
cabbages_1,cabbages_1.jpg,cabbage
cabbages,cabbages.jpg,cabbage
carrots_1,carrots_1.jpg,carrot
carrots_2,carrots_2.jpg,carrot
carrots_3,carrots_3.jpg,carrot
carrots_4,carrots_4.jpg,carrot
carrots_5,carrots_5.jpg,carrot
carrots_6,carrots_6.jpg,carrot
carrots_7,carrots_7.jpg,carrot
carrots_8,carrots_8.jpg,carrot
carrots,carrots.jpg,carrot
celery_1,celery_1.jpg,celery
celery,celery.jpg,celery
