ClassId,count
apple,5590
banana,2251
strawberries,2040
bread,1078
tomato,583
carrot,538
cucumber,495
zucchini,448
orange,311
cheese,303
rice,260
red wine,253
corn,221
cabbage,218
egg,216
bell pepper,204
spinach,193
milk,187
yogurt,184
onion,183
white wine,162
potato,158
avocado,142
lemon,138
pineapple,135
garlic,117
tomato sauce,116
chicken,114
peas,111
pasta,102
fresh ginger,99
broccoli,93
almonds,79
ham,67
salmon,57
mushroom,49
sour cream,48
lime,40
mint,12
peaches,11
soda,11
crackers,10
macaroni,10
red onion,9
peanuts,9
coconut,9
orange juice,7
fresh parsley,7
peanut butter,7
cranberries,7
green onion,6
tortilla,6
beef,6
beans,6
nuts,6
pork,6
shrimp,6
sausage,6
sesame seeds,4
raisins,4
walnuts,3
pecans,3
noodles,3
pineapple juice,2
tomato soup,2
olives,2
turkey,2
celery,2
fish sauce,1
