,0,1
0,onion,511747
1,cheese,394539
2,egg,303922
3,bell pepper,232745
4,milk,222580
5,tomato,202551
6,chicken,166520
7,celery,130640
8,green onion,113823
9,carrot,107471
10,sour cream,96909
11,potato,95162
12,ground beef,93339
13,mushroom,74568
14,cream cheese,74519
15,lemon,72501
16,rice,67860
17,bacon,67832
18,lime,59953
19,pineapple,52560
20,cream,52535
21,bread crumbs,51836
22,red onion,50228
23,bread,46251
24,mushroom soup,44711
25,tomato sauce,41496
26,white wine,41189
27,orange,38280
28,pecans,38135
29,shrimp,36648
30,shallot,36295
31,nuts,36234
32,orange juice,35986
33,broccoli,35955
34,zucchini,35237
35,corn,34502
36,cucumber,32987
37,spinach,32036
38,cream ofchicken soup,31496
39,banana,30821
40,apple,30406
41,tomato paste,29349
42,walnuts,27473
43,raisins,26319
44,almonds,25790
45,avocado,23893
46,noodles,23766
47,tortilla,23548
48,sesame oil,22344
49,cabbage,22074
50,strawberries,21570
51,beans,21271
52,peas,21047
53,green beans,20060
54,ham,19793
55,sausage,18490
56,buttermilk,18462
57,yogurt,17885
58,beef,17388
59,fresh parsley,16579
60,pasta,16490
61,macaroni,16464
62,black beans,16422
63,black olives,16326
64,peanut butter,16124
65,red wine,15957
66,coconut,15735
67,chives,15708
68,olives,15328
69,pineapple juice,15311
70,fresh ginger,15236
71,mint,15214
72,green chilies,15156
73,salsa,14871
74,crackers,13995
75,sweet potato,13812
76,cottage cheese,13799
77,sesame seeds,13641
78,pork,13609
79,peanuts,13533
80,salmon,13186
81,kidney beans,13079
82,soda,12963
83,cranberries,12693
84,tomato soup,12496
85,onion soup,12065
86,capers,11918
87,water chestnuts,11432
88,cauliflower,11297
89,horseradish,11271
90,peaches,11188
91,sherry,11034
92,molasses,10839
93,tuna,10047
94,pork chops,9825
95,active dry yeast,9760
96,cornmeal,9492
97,turkey,9457
98,fish sauce,9337
99,coconut milk,9201
